,Sim_ID,Season,Name,Pos,Age,Stamina,Stuff,Total,W,L
0,87627,1900,Dazzy Travis,P,20,41,48,89,5,8
1,87627,1900,Dal Hartung,P,24,51,37,88,7,10
2,87627,1900,Norman Bruce,P,27,71,66,137,13,7
3,87627,1900,Shanty Donaldson,P,25,71,57,128,16,4
4,87627,1901,Shanty Donaldson,P,26,71,57,128,7,6
5,87627,1901,Dal Hartung,P,25,51,37,88,4,15
6,87627,1901,Norman Bruce,P,28,71,66,137,10,9
7,87627,1901,Mudcat Glazner,P,23,80,37,117,6,15
8,87627,1902,Norman Bruce,P,29,71,66,137,9,10
9,87627,1902,Shanty Donaldson,P,27,71,57,128,13,9
10,87627,1902,Mudcat Glazner,P,24,84,41,125,7,18
11,87627,1902,Santiago Gotay,P,18,57,30,87,4,16
12,87627,1903,Shanty Donaldson,P,28,71,57,128,10,13
13,87627,1903,Norman Bruce,P,30,71,65,136,14,7
14,87627,1903,Santiago Gotay,P,19,66,42,108,8,7
15,87627,1903,Orval Baird,P,24,67,64,131,11,6
16,87627,1904,Santiago Gotay,P,20,70,42,112,7,15
17,87627,1904,Norman Bruce,P,31,62,61,123,14,3
18,87627,1904,Orval Baird,P,25,67,64,131,11,15
19,87627,1904,Kerby Francis,P,20,38,31,69,4,10
20,87627,1905,Orval Baird,P,26,67,64,131,11,9
21,87627,1905,Santiago Gotay,P,21,80,44,124,12,15
22,87627,1905,Kerby Francis,P,21,39,37,76,4,14
23,87627,1905,Culley Cimino,P,23,58,33,91,2,16
24,87627,1906,Kerby Francis,P,22,39,37,76,4,6
25,87627,1906,Orval Baird,P,27,67,64,131,14,5
26,87627,1906,Santiago Gotay,P,22,83,51,134,15,13
27,87627,1906,Culley Cimino,P,24,59,33,92,8,10
28,87627,1907,Santiago Gotay,P,23,87,56,143,11,17
29,87627,1907,Culley Cimino,P,25,59,33,92,4,11
30,87627,1907,Orval Baird,P,28,67,64,131,9,9
31,87627,1907,Brian Gleeson,P,23,32,58,90,4,8
32,87627,1908,Orval Baird,P,29,65,62,127,8,12
33,87627,1908,Brian Gleeson,P,24,36,58,94,5,7
34,87627,1908,Culley Cimino,P,26,59,33,92,2,13
35,87627,1908,Jakie Holtzman,P,21,80,53,133,9,17
36,87627,1909,Orval Baird,P,30,65,62,127,10,10
37,87627,1909,Brian Gleeson,P,25,36,58,94,4,7
38,87627,1909,Jakie Holtzman,P,22,85,57,142,11,11
39,87627,1909,Steve Allie,P,22,45,71,116,8,5
40,87627,1910,Orval Baird,P,31,57,61,118,9,8
41,87627,1910,Steve Allie,P,23,50,74,124,15,1
42,87627,1910,Brian Gleeson,P,26,36,58,94,6,7
43,87627,1910,Catfish Blaeholder,P,21,55,79,134,10,4
44,87627,1911,Orval Baird,P,32,53,53,106,5,11
45,87627,1911,Steve Allie,P,24,52,78,130,9,4
46,87627,1911,Brian Gleeson,P,27,36,58,94,4,7
47,87627,1911,Ruben Hassler,P,22,32,70,102,7,5
48,87627,1912,Steve Allie,P,25,52,78,130,9,4
49,87627,1912,Brian Gleeson,P,28,36,58,94,8,10
50,87627,1912,Ruben Hassler,P,23,33,74,107,8,2
51,87627,1912,Emmett Fullis,P,20,50,42,92,5,10
52,87627,1913,Steve Allie,P,26,52,78,130,14,2
53,87627,1913,Emmett Fullis,P,21,57,51,108,13,8
54,87627,1913,Ruben Hassler,P,24,35,75,110,5,9
55,87627,1913,Deacon Byrne,P,20,55,58,113,11,7
56,87627,1914,Ruben Hassler,P,25,35,75,110,6,6
57,87627,1914,Steve Allie,P,27,52,78,130,6,8
58,87627,1914,Deacon Byrne,P,21,57,66,123,7,8
59,87627,1914,Rene Carnett,P,25,68,38,106,8,9
60,87627,1915,Ruben Hassler,P,26,35,75,110,6,6
61,87627,1915,Steve Allie,P,28,52,78,130,11,4
62,87627,1915,Deacon Byrne,P,22,58,66,124,13,8
63,87627,1915,Rene Carnett,P,26,68,38,106,7,11
64,87627,1916,Rene Carnett,P,27,68,38,106,8,9
65,87627,1916,Steve Allie,P,29,52,77,129,10,6
66,87627,1916,Deacon Byrne,P,23,64,66,130,6,9
67,87627,1916,Rowland Dailey,P,23,52,41,93,1,10
68,87627,1917,Steve Allie,P,30,47,74,121,13,3
69,87627,1917,Deacon Byrne,P,24,65,69,134,10,9
70,87627,1917,Rowland Dailey,P,24,53,43,96,6,11
71,87627,1917,Claudell Drysdale,P,23,79,62,141,8,10
72,87627,1918,Deacon Byrne,P,25,65,69,134,10,10
73,87627,1918,Rowland Dailey,P,25,53,43,96,4,9
74,87627,1918,Claudell Drysdale,P,24,82,64,146,9,12
75,87627,1918,Georges Hale,P,22,59,38,97,7,15
76,87627,1919,Rowland Dailey,P,26,53,43,96,3,14
77,87627,1919,Claudell Drysdale,P,25,82,64,146,12,13
78,87627,1919,Deacon Byrne,P,26,65,69,134,6,8
79,87627,1919,Skip Brand,P,24,41,67,108,11,7
80,87627,1920,Deacon Byrne,P,27,65,69,134,16,5
81,87627,1920,Skip Brand,P,25,41,67,108,8,9
82,87627,1920,Claudell Drysdale,P,26,82,64,146,9,12
83,87627,1920,Marty Fosse,P,23,54,67,121,11,7
84,87627,1921,Deacon Byrne,P,28,65,69,134,7,8
85,87627,1921,Marty Fosse,P,24,56,70,126,6,5
86,87627,1921,Skip Brand,P,26,41,67,108,9,6
87,87627,1921,Claudell Drysdale,P,27,82,64,146,16,11
88,87627,1922,Deacon Byrne,P,29,64,67,131,8,6
89,87627,1922,Marty Fosse,P,25,56,70,126,6,9
90,87627,1922,Claudell Drysdale,P,28,82,64,146,12,16
91,87627,1922,Jesus Bouchee,P,19,66,69,135,7,11
92,87627,1923,Jesus Bouchee,P,20,77,77,154,14,9
93,87627,1923,Marty Fosse,P,26,56,70,126,7,7
94,87627,1923,Claudell Drysdale,P,29,79,59,138,16,6
95,87627,1923,Tito Casale,P,19,69,73,142,10,11
96,87627,1924,Tito Casale,P,20,73,78,151,14,6
97,87627,1924,Jesus Bouchee,P,21,83,85,168,20,8
98,87627,1924,Marty Fosse,P,27,56,70,126,9,10
99,87627,1924,Pol Creel,P,21,52,47,99,5,10
100,87627,1925,Tito Casale,P,21,83,84,167,14,4
101,87627,1925,Jesus Bouchee,P,22,91,87,178,25,4
102,87627,1925,Pol Creel,P,22,59,50,109,11,11
103,87627,1925,Spades Hahn,P,18,34,68,102,11,6
104,87627,1926,Spades Hahn,P,19,39,77,116,7,3
105,87627,1926,Jesus Bouchee,P,23,97,89,186,23,5
106,87627,1926,Pol Creel,P,23,62,56,118,5,10
107,87627,1926,Seth Adamson,P,25,64,65,129,8,9
108,87627,1927,Spades Hahn,P,20,49,78,127,8,7
109,87627,1927,Pol Creel,P,24,66,58,124,8,7
110,87627,1927,Seth Adamson,P,26,64,65,129,13,7
111,87627,1927,Rex Cabell,P,23,53,79,132,12,3
112,87627,1928,Seth Adamson,P,27,64,65,129,11,3
113,87627,1928,Spades Hahn,P,21,52,88,140,10,6
114,87627,1928,Rex Cabell,P,24,55,80,135,12,4
115,87627,1928,Walt Graham,P,24,52,36,88,0,14
116,87627,1929,Walt Graham,P,25,52,36,88,3,11
117,87627,1929,Rex Cabell,P,25,55,80,135,8,6
118,87627,1929,Spades Hahn,P,22,55,89,144,9,3
119,87627,1929,Eddie Herman,P,23,41,75,116,7,8
120,87627,1930,Walt Graham,P,26,52,36,88,5,12
121,87627,1930,Rex Cabell,P,26,55,80,135,11,4
122,87627,1930,Spades Hahn,P,23,57,91,148,12,6
123,87627,1930,Pinky Buford,P,22,46,57,103,9,7
124,87627,1931,Rex Cabell,P,27,55,80,135,15,6
125,87627,1931,Walt Graham,P,27,52,36,88,3,13
126,87627,1931,Pinky Buford,P,23,48,59,107,7,5
127,87627,1931,Kevin Greengrass,P,25,66,57,123,10,7
128,87627,1932,Rex Cabell,P,28,55,80,135,11,2
129,87627,1932,Walt Graham,P,28,52,36,88,5,9
130,87627,1932,Kevin Greengrass,P,26,66,57,123,9,9
131,87627,1932,Johnny Hoover,P,22,64,77,141,15,7
132,87627,1933,Rex Cabell,P,29,54,77,131,12,3
133,87627,1933,Walt Graham,P,29,51,36,87,3,13
134,87627,1933,Johnny Hoover,P,23,69,81,150,11,2
135,87627,1933,Kevin Greengrass,P,27,66,57,123,7,11
136,87627,1934,Rex Cabell,P,30,53,71,124,7,7
137,87627,1934,Walt Graham,P,30,51,34,85,1,13
138,87627,1934,Johnny Hoover,P,24,73,82,155,14,7
139,87627,1934,Kevin Greengrass,P,28,66,57,123,12,9
140,87627,1935,Kevin Greengrass,P,29,62,52,114,7,13
141,87627,1935,Rex Cabell,P,31,48,64,112,11,7
142,87627,1935,Walt Graham,P,31,48,27,75,5,10
143,87627,1935,Johnny Hoover,P,25,73,82,155,16,5
144,87627,1936,Kevin Greengrass,P,30,55,45,100,2,12
145,87627,1936,Rex Cabell,P,32,47,60,107,7,13
146,87627,1936,Johnny Hoover,P,26,73,82,155,16,3
147,87627,1936,Euel Dobernic,P,19,40,68,108,8,4
148,87627,1937,Rex Cabell,P,33,44,50,94,3,13
149,87627,1937,Euel Dobernic,P,20,45,76,121,8,5
150,87627,1937,Johnny Hoover,P,27,73,82,155,16,5
151,87627,1937,Derrel Horstmann,P,21,43,75,118,9,10
152,87627,1938,Rex Cabell,P,34,32,43,75,6,4
153,87627,1938,Derrel Horstmann,P,22,51,81,132,9,6
154,87627,1938,Johnny Hoover,P,28,73,82,155,20,4
155,87627,1938,Frenchy Bedient,P,21,34,59,93,5,4
156,87627,1939,Rex Cabell,P,35,31,39,70,4,9
157,87627,1939,Derrel Horstmann,P,23,54,83,137,14,1
158,87627,1939,Frenchy Bedient,P,22,42,62,104,7,4
159,87627,1939,Curtis Arnovich,P,19,76,73,149,16,9
160,87627,1940,Derrel Horstmann,P,24,56,85,141,7,4
161,87627,1940,Rex Cabell,P,36,13,29,42,0,2
